DUTYDAY,DUTY,REPORTING_STATUS,REPORTING,CP,FO,ETD_STD,ETA_STA,OPS_LEGS,ALLOWABLE_FDP,SCHEDULED_FDP,ACTUAL_FDP,PREDICTED_FDP,FDP_VARIANCE,ALLOWABLE_FT,SCHEDULED_FT,PREDICTED_FT,FT_VARIANCE,NIGHT_LANDINGS_VARIANCE,NIGHT_FDP_VARIANCE,PREDICTED_FDP_END,CRITICALITY,CRITICALITY_SCORE,FLEET,CROUTE,SECTORS,COMMENT,CREATED_AT_IST,CREATED_AT_IST_DAY
2026-04-25,66608:7-71977:5,Yet to Report,2026-04-25T14:50:00Z,66608,71977,2026-04-25T15:35:00Z,2026-04-25T22:35:00Z,4,12,7.75,7.75,9.8,2.1999999999999993,8,5.666666666666667,6.683333333333334,1.3166666666666664,-1,0.1999999999999993,2026-04-26T00:38:00Z,L4,90.41155356283205,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-24T00:35:17Z,2026-04-24
2026-04-25,20418:6-76104:4,Yet to Report,2026-04-25T06:10:00Z,20418,76104,2026-04-25T06:55:00Z,2026-04-25T13:55:00Z,4,12,7.75,7.75,7.6,4.4,8,5.583333333333333,5.466666666666667,2.533333333333333,,,2026-04-25T13:46:00Z,L0,0,ATR,1199,AMD-IDR-AMD-ISK-HYD,,2026-04-24T00:35:17Z,2026-04-24
2026-04-25,66608:7-71977:5,Yet to Report,2026-04-25T14:50:00Z,66608,71977,2026-04-25T15:35:00Z,2026-04-25T22:35:00Z,4,12,7.75,7.75,9.8,2.1999999999999993,8,5.666666666666667,5.666666666666667,2.333333333333333,-1,0.1999999999999993,2026-04-26T00:38:00Z,L4,90.41155356283198,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-24T00:17:55Z,2026-04-24
2026-04-25,20418:6-76104:4,Yet to Report,2026-04-25T06:10:00Z,20418,76104,2026-04-25T06:55:00Z,2026-04-25T13:55:00Z,4,12,7.75,7.75,7.6,4.4,8,5.583333333333333,5.583333333333333,2.416666666666667,,,2026-04-25T13:46:00Z,L0,0,ATR,1199,AMD-IDR-AMD-ISK-HYD,,2026-04-24T00:17:55Z,2026-04-24
2026-04-25,66608:7-71977:5,Yet to Report,2026-04-25T14:50:00Z,66608,71977,2026-04-25T15:35:00Z,2026-04-25T22:35:00Z,4,12,7.75,7.75,9.8,2.1999999999999993,8,5.666666666666667,6.683333333333334,1.3166666666666664,-1,0.1999999999999993,2026-04-26T00:38:00Z,L4,90.41155356283205,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-24T00:47:57Z,2026-04-24
2026-04-25,20418:6-76104:4,Yet to Report,2026-04-25T06:10:00Z,20418,76104,2026-04-25T06:55:00Z,2026-04-25T13:55:00Z,4,12,7.75,7.75,7.6,4.4,8,5.583333333333333,5.466666666666667,2.533333333333333,,,2026-04-25T13:46:00Z,L0,0,ATR,1199,AMD-IDR-AMD-ISK-HYD,,2026-04-24T00:47:57Z,2026-04-24
2026-04-25,66608:7-71977:5,Yet to Report,2026-04-25T14:50:00Z,66608,71977,2026-04-25T15:35:00Z,2026-04-25T22:45:00Z,4,12,7.75,7.916666666666667,9.766666666666666,2.2333333333333343,8,5.666666666666667,6.65,1.3499999999999996,-1,0.23333333333333428,2026-04-26T00:36:00Z,L4,90.41155351568032,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-25T00:33:45Z,2026-04-25
2026-04-25,20418:6-78812:4,Yet to Report,2026-04-25T06:10:00Z,20418,78812,2026-04-25T06:55:00Z,2026-04-25T14:00:00Z,4,12,7.75,7.833333333333333,7.683333333333334,4.316666666666666,8,5.583333333333333,5.416666666666666,2.583333333333334,,,2026-04-25T13:51:00Z,L0,0,ATR,1199,AMD-IDR-AMD-ISK-HYD,,2026-04-25T00:33:45Z,2026-04-25
2026-04-25,66608:7-71977:5,Yet to Report,2026-04-25T14:50:00Z,66608,71977,2026-04-25T15:35:00Z,2026-04-25T22:45:00Z,4,12,7.75,7.916666666666667,9.766666666666666,2.2333333333333343,8,5.666666666666667,6.683333333333334,1.3166666666666664,-1,0.23333333333333428,2026-04-26T00:36:00Z,L4,90.41155351568032,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-25T00:18:07Z,2026-04-25
2026-04-25,20418:6-78812:4,Yet to Report,2026-04-25T06:10:00Z,20418,78812,2026-04-25T06:55:00Z,2026-04-25T14:00:00Z,4,12,7.75,7.833333333333333,7.683333333333334,4.316666666666666,8,5.583333333333333,5.583333333333333,2.416666666666667,,,2026-04-25T13:51:00Z,L0,0,ATR,1199,AMD-IDR-AMD-ISK-HYD,,2026-04-25T00:18:07Z,2026-04-25
