ID,POS,CROUTE,PAIRING_START,DUTY_START_FLAG,DUTYDAY,REPORTING,STD,ETD,ATD,STA,ETA,ATA,DDLY,ADLY,S_BLOCK_TIME,A_BLOCK_TIME,PRED_BDDLY,PRED_BLOCK_TIME_DELAY,PRED_TAT_DELAY,DEP,ARR,LEG_FLT,LEGSTATUS,ACTYPE,TAIL,TAIL_SWAP,PAX,PREV_PAX,DOM_INT,Q_INDICATOR,C_INDICATOR,P_INDICATOR,DUTY_ID,SEQUENCE,SEQUENCE_REV,OPS_SEQUENCE_REV,IS_PART_OF_FDP,FIRST_LEG_DH,LAST_LEG_DH,PREV_ARR,ACTUAL_TAT,SCHEDULED_TAT,60_PCTL_BDDLY,70_PCTL_BDDLY,60_PCTL_ATAT,70_PCTL_ATAT,60_PCTL_ABT,70_PCTL_ABT,PREV_ARR_WINDOW,S_DEP_WINDOW,A_DEP_WINDOW,IS_HISTORICAL_DATA,CREATED_AT_IST,CREATED_AT_IST_DAY
88517,2,1199,2026-04-10,0,2026-04-11,,2026-04-11T19:10:00Z,2026-04-11T20:10:00Z,2026-04-11T20:07:00Z,2026-04-11T20:40:00Z,2026-04-11T22:21:00Z,2026-04-11T22:19:00Z,57,99,90,132,0,42,0,AMD,NMI,7018,0,ATR,VTIYO,0,0,0,DOM,0,0,0,3,3,2,2,1,0,0,AMD,30,30,0,0,32,34,132,132,19,19,20,,2026-04-15T21:17:28Z,2026-04-15
71977,2,1199,2026-04-09,0,2026-04-10,,2026-04-10T19:10:00Z,2026-04-10T19:30:00Z,2026-04-10T19:33:00Z,2026-04-10T20:40:00Z,2026-04-10T21:16:00Z,2026-04-10T21:16:00Z,23,36,90,103,0,13,5,AMD,NMI,7018,0,ATR,VTIRE,0,0,0,DOM,0,0,0,5,3,2,2,1,0,0,AMD,35,30,0,0,27,27,103,103,18,19,19,,2026-04-15T21:17:28Z,2026-04-15
49568,1,1199,2026-04-13,0,2026-04-14,,2026-04-14T19:10:00Z,2026-04-14T19:25:00Z,2026-04-14T19:23:00Z,2026-04-14T20:40:00Z,2026-04-14T21:08:00Z,2026-04-14T21:07:00Z,13,27,90,104,0,14,-3,AMD,NMI,7018,0,ATR,VTIYO,0,0,0,DOM,0,0,0,5,3,2,2,1,0,0,AMD,27,30,0,0,27,27,103,103,18,19,19,1,2026-04-15T21:17:28Z,2026-04-15
76960,2,1199,2026-04-05,0,2026-04-06,,2026-04-06T19:10:00Z,2026-04-06T19:25:00Z,2026-04-06T19:11:00Z,2026-04-06T20:40:00Z,2026-04-06T20:54:00Z,2026-04-06T20:53:00Z,1,13,90,102,0,12,-7,AMD,NMI,7018,0,ATR,VTIYJ,0,0,0,DOM,0,0,0,2,3,2,2,1,0,0,AMD,23,30,0,0,27,27,103,103,18,19,19,,2026-04-15T21:17:28Z,2026-04-15
56827,1,1199,2026-04-09,0,2026-04-10,,2026-04-10T19:10:00Z,2026-04-10T19:30:00Z,2026-04-10T19:33:00Z,2026-04-10T20:40:00Z,2026-04-10T21:16:00Z,2026-04-10T21:16:00Z,23,36,90,103,0,13,5,AMD,NMI,7018,0,ATR,VTIRE,0,0,0,DOM,0,0,0,5,3,2,2,1,0,0,AMD,35,30,0,0,27,27,103,103,18,19,19,1,2026-04-15T21:17:28Z,2026-04-15
85872,2,1199,2026-04-12,0,2026-04-13,,2026-04-13T19:10:00Z,2026-04-13T19:20:00Z,2026-04-13T19:13:00Z,2026-04-13T20:40:00Z,2026-04-13T20:51:00Z,2026-04-13T20:55:00Z,3,15,90,102,0,12,-4,AMD,NMI,7018,0,ATR,VTIRO,0,0,0,DOM,0,0,0,4,3,2,2,1,0,0,AMD,26,30,0,0,27,27,103,103,18,19,19,,2026-04-15T21:17:28Z,2026-04-15
30009,1,1199,2026-04-12,0,2026-04-13,,2026-04-13T19:10:00Z,2026-04-13T19:20:00Z,2026-04-13T19:13:00Z,2026-04-13T20:40:00Z,2026-04-13T20:51:00Z,2026-04-13T20:55:00Z,3,15,90,102,0,12,-4,AMD,NMI,7018,0,ATR,VTIRO,0,0,0,DOM,0,0,0,5,3,2,2,1,0,0,AMD,26,30,0,0,27,27,103,103,18,19,19,1,2026-04-15T21:17:28Z,2026-04-15
30009,1,1199,2026-04-05,0,2026-04-06,,2026-04-06T19:10:00Z,2026-04-06T19:25:00Z,2026-04-06T19:11:00Z,2026-04-06T20:40:00Z,2026-04-06T20:54:00Z,2026-04-06T20:53:00Z,1,13,90,102,0,12,-7,AMD,NMI,7018,0,ATR,VTIYJ,0,0,0,DOM,0,0,0,2,3,2,2,1,0,0,AMD,23,30,0,0,27,27,103,103,18,19,19,,2026-04-15T21:17:28Z,2026-04-15
67038,2,1199,2026-04-13,0,2026-04-14,,2026-04-14T19:10:00Z,2026-04-14T19:25:00Z,2026-04-14T19:23:00Z,2026-04-14T20:40:00Z,2026-04-14T21:08:00Z,2026-04-14T21:07:00Z,13,27,90,104,0,14,-3,AMD,NMI,7018,0,ATR,VTIYO,0,0,0,DOM,0,0,0,6,3,2,2,1,0,0,AMD,27,30,0,0,27,27,103,103,18,19,19,,2026-04-15T21:17:28Z,2026-04-15
78812,2,1199,2026-04-04,0,2026-04-05,,2026-04-05T19:10:00Z,2026-04-05T19:55:00Z,2026-04-05T19:49:00Z,2026-04-05T20:40:00Z,2026-04-05T21:32:00Z,2026-04-05T21:30:00Z,39,50,90,101,0,11,-5,AMD,NMI,7018,0,ATR,VTIYJ,0,0,0,DOM,0,0,0,2,3,2,2,1,0,0,AMD,25,30,0,0,32,34,103,103,19,19,19,,2026-04-15T21:17:28Z,2026-04-15
80859,1,1199,2026-04-03,0,2026-04-04,,2026-04-04T19:10:00Z,2026-04-04T19:55:00Z,2026-04-04T19:34:00Z,2026-04-04T20:40:00Z,2026-04-04T21:18:00Z,2026-04-04T21:16:00Z,24,36,90,102,0,12,3,AMD,NMI,7018,0,ATR,VTIYG,0,0,0,DOM,0,0,0,2,3,2,2,1,0,0,AMD,33,30,0,0,32,34,103,103,19,19,19,,2026-04-15T21:17:28Z,2026-04-15
89626,2,1199,2026-04-07,0,2026-04-08,,2026-04-08T19:10:00Z,2026-04-08T19:45:00Z,2026-04-08T19:40:00Z,2026-04-08T20:40:00Z,2026-04-08T21:24:00Z,2026-04-08T21:26:00Z,30,46,90,106,0,16,-8,AMD,NMI,7018,0,ATR,VTIYE,0,0,0,DOM,0,0,0,4,3,2,2,1,0,0,AMD,22,30,0,0,32,34,103,103,19,19,19,,2026-04-15T21:17:28Z,2026-04-15
37566,1,1199,2026-04-07,0,2026-04-08,,2026-04-08T19:10:00Z,2026-04-08T19:45:00Z,2026-04-08T19:40:00Z,2026-04-08T20:40:00Z,2026-04-08T21:24:00Z,2026-04-08T21:26:00Z,30,46,90,106,0,16,-8,AMD,NMI,7018,0,ATR,VTIYE,0,0,0,DOM,0,0,0,4,3,2,2,1,0,0,AMD,22,30,0,0,32,34,103,103,19,19,19,1,2026-04-15T21:17:28Z,2026-04-15
82998,2,1199,2026-04-11,0,2026-04-12,,2026-04-12T19:10:00Z,2026-04-12T19:30:00Z,2026-04-12T19:31:00Z,2026-04-12T20:40:00Z,2026-04-12T21:06:00Z,2026-04-12T21:03:00Z,21,23,90,92,0,2,-4,AMD,NMI,7018,0,ATR,VTIRQ,0,0,0,DOM,0,0,0,4,3,2,2,1,0,0,AMD,26,30,0,0,32,34,103,103,19,19,19,,2026-04-15T21:17:28Z,2026-04-15
71977,2,1199,2026-04-09,0,2026-04-10,,2026-04-10T21:10:00Z,2026-04-10T21:45:00Z,2026-04-10T21:39:00Z,2026-04-10T22:35:00Z,2026-04-10T23:16:00Z,2026-04-10T23:21:00Z,29,46,85,102,0,17,-7,NMI,AMD,7017,0,ATR,VTIRE,0,0,0,DOM,0,0,0,5,4,1,1,1,0,0,NMI,23,30,0,0,28,28,96,102,21,21,21,,2026-04-15T21:17:28Z,2026-04-15
