DUTYDAY,DUTY,REPORTING_STATUS,REPORTING,CP,FO,ETD_STD,ETA_STA,OPS_LEGS,ALLOWABLE_FDP,SCHEDULED_FDP,ACTUAL_FDP,PREDICTED_FDP,FDP_VARIANCE,ALLOWABLE_FT,SCHEDULED_FT,PREDICTED_FT,FT_VARIANCE,NIGHT_LANDINGS_VARIANCE,NIGHT_FDP_VARIANCE,PREDICTED_FDP_END,CRITICALITY,CRITICALITY_SCORE,FLEET,CROUTE,SECTORS,COMMENT,CREATED_AT_IST,CREATED_AT_IST_DAY
2026-04-25,-69126:6,Yet to Report,2026-04-25T09:45:00Z,,69126,2026-04-25T10:45:00Z,2026-04-25T22:25:00Z,2,13,12.666666666666666,12.666666666666666,13.033333333333333,-0.033333333333333215,9,5.833333333333333,5.983333333333333,3.0166666666666666,,,2026-04-25T22:47:00Z,L4,77.64368201593491,Airbus,D3422,DEL-BLR-DEL-BLR,,2026-04-24T00:35:17Z,2026-04-24
2026-04-25,66608:7-71977:5,Yet to Report,2026-04-25T14:50:00Z,66608,71977,2026-04-25T15:35:00Z,2026-04-25T22:35:00Z,4,12,7.75,7.75,9.8,2.1999999999999993,8,5.666666666666667,6.683333333333334,1.3166666666666664,-1,0.1999999999999993,2026-04-26T00:38:00Z,L4,90.41155356283205,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-24T00:35:17Z,2026-04-24
2026-04-25,-69126:6,Yet to Report,2026-04-25T09:45:00Z,,69126,2026-04-25T10:45:00Z,2026-04-25T22:25:00Z,2,13,12.666666666666666,12.666666666666666,13.033333333333333,-0.033333333333333215,9,5.833333333333333,5.833333333333333,3.166666666666667,,,2026-04-25T22:47:00Z,L4,77.64368198028491,Airbus,D3422,DEL-BLR-DEL-BLR,,2026-04-24T00:17:55Z,2026-04-24
2026-04-25,66608:7-71977:5,Yet to Report,2026-04-25T14:50:00Z,66608,71977,2026-04-25T15:35:00Z,2026-04-25T22:35:00Z,4,12,7.75,7.75,9.8,2.1999999999999993,8,5.666666666666667,5.666666666666667,2.333333333333333,-1,0.1999999999999993,2026-04-26T00:38:00Z,L4,90.41155356283198,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-24T00:17:55Z,2026-04-24
2026-04-25,-69126:6,Yet to Report,2026-04-25T09:45:00Z,,69126,2026-04-25T10:45:00Z,2026-04-25T22:25:00Z,2,13,12.666666666666666,12.666666666666666,13.033333333333333,-0.033333333333333215,9,5.833333333333333,5.983333333333333,3.0166666666666666,,,2026-04-25T22:47:00Z,L4,77.64368201593491,Airbus,D3422,DEL-BLR-DEL-BLR,,2026-04-24T00:47:57Z,2026-04-24
2026-04-25,66608:7-71977:5,Yet to Report,2026-04-25T14:50:00Z,66608,71977,2026-04-25T15:35:00Z,2026-04-25T22:35:00Z,4,12,7.75,7.75,9.8,2.1999999999999993,8,5.666666666666667,6.683333333333334,1.3166666666666664,-1,0.1999999999999993,2026-04-26T00:38:00Z,L4,90.41155356283205,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-24T00:47:57Z,2026-04-24
2026-04-25,41887:6-12651:4,Yet to Report,2026-04-25T07:30:00Z,41887,12651,2026-04-25T08:30:00Z,2026-04-25T19:00:00Z,3,12.5,11.75,11.5,12.933333333333334,-0.43333333333333357,8,6.333333333333333,6,2,,,2026-04-25T20:26:00Z,L4,78.20346792878492,Airbus,4681,BLR-BOM-🛧BLR-AMD-BLR,,2026-04-25T00:33:45Z,2026-04-25
2026-04-25,22464:3-69117:5,Yet to Report,2026-04-25T10:45:00Z,22464,69117,2026-04-25T11:45:00Z,2026-04-25T21:15:00Z,4,12,10.583333333333334,10.5,12.733333333333334,-0.7333333333333343,8,7.083333333333333,7.3999999999999995,0.6000000000000005,,,2026-04-25T23:29:00Z,L4,78.59549276738491,Airbus,3909,DEL-HYD-🛧DEL-UDR-DEL,,2026-04-25T00:33:45Z,2026-04-25
2026-04-25,34072:5-58674:7,Yet to Report,2026-04-25T12:45:00Z,34072,58674,2026-04-25T13:45:00Z,2026-04-25T23:05:00Z,4,12,10.25,10.333333333333334,11.25,0.75,8,6.25,6.333333333333333,1.666666666666667,-1,-1.25,2026-04-26T00:00:00Z,L4,90.41155542480794,Airbus,5941,NMI-🛧MAA-VTZ-MAA-NMI,,2026-04-25T00:33:45Z,2026-04-25
2026-04-25,40830:8-80722:5,Yet to Report,2026-04-25T14:05:00Z,40830,80722,2026-04-25T15:05:00Z,2026-04-25T22:35:00Z,4,12,8.5,8.5,10.316666666666666,1.6833333333333336,8,5.5,5.916666666666667,2.083333333333333,-1,-0.31666666666666643,2026-04-26T00:24:00Z,L4,90.4115542931142,Airbus,4196,NMI-IXE-NMI-🛧HYD-NMI,,2026-04-25T00:33:45Z,2026-04-25
