RunIndex,CROUTE,LegIndex,LegName,STD_IST,STD,CP,FO,is_L4,CPChange,FOChange,CRITICALITY,SECTORS,Explanation,CP_ST,FO_ST,OPS_LEGS,ALLOWABLE_FDP,SCHEDULED_FDP,ACTUAL_FDP,PREDICTED_FDP,FDP_VARIANCE,ALLOWABLE_FT,SCHEDULED_FT,PREDICTED_FT,FT_VARIANCE,NIGHT_LANDINGS_VARIANCE,NIGHT_FDP_VARIANCE,CRITICALITY_SCORE,COMMENT,DUTYDAY,DUTY,REPORTING_STATUS,REPORTING,ETA_STA,PREDICTED_FDP_END,CRITICALITY_ST,FLEET,SECTORS_ST,CREATED_AT_IST,CREATED_AT_IST_DAY
0,4681,0,BLR-BOM,2026-04-25 14:00:00,2026-04-25T08:30:00Z,41887.0,12651,,False,False,L4,BLR-BOM-🛧BLR-AMD-BLR,,41887.0,12651.0,3.0,12.5,11.75,11.56081081081081,12.863663663663663,-0.36366366366366326,8.0,6.333333333333333,6.09024024024024,1.90975975975976,,,78.10514013983807,,2026-04-25,41887:6-12651:4,Yet to Report,2026-04-25T07:30:00Z,2026-04-25T19:00:00Z,2026-04-25T20:26:00Z,L4,Airbus,BLR-BOM-🛧BLR-AMD-BLR,2026-04-25T00:33:45Z,2026-04-25
0,4681,1,BOM-🛧BLR,2026-04-25 14:00:00,2026-04-25T08:30:00Z,41887.0,12651,,False,False,L4,BLR-BOM-🛧BLR-AMD-BLR,,41887.0,12651.0,3.0,12.5,11.75,11.56081081081081,12.863663663663663,-0.36366366366366326,8.0,6.333333333333333,6.09024024024024,1.90975975975976,,,78.10514013983807,,2026-04-25,41887:6-12651:4,Yet to Report,2026-04-25T07:30:00Z,2026-04-25T19:00:00Z,2026-04-25T20:26:00Z,L4,Airbus,BLR-BOM-🛧BLR-AMD-BLR,2026-04-25T00:33:45Z,2026-04-25
0,4681,2,🛧BLR-AMD,2026-04-25 14:00:00,2026-04-25T08:30:00Z,41887.0,12651,,False,False,L4,BLR-BOM-🛧BLR-AMD-BLR,,41887.0,12651.0,3.0,12.5,11.75,11.56081081081081,12.863663663663663,-0.36366366366366326,8.0,6.333333333333333,6.09024024024024,1.90975975975976,,,78.10514013983807,,2026-04-25,41887:6-12651:4,Yet to Report,2026-04-25T07:30:00Z,2026-04-25T19:00:00Z,2026-04-25T20:26:00Z,L4,Airbus,BLR-BOM-🛧BLR-AMD-BLR,2026-04-25T00:33:45Z,2026-04-25
0,4681,3,AMD-BLR,2026-04-26 14:00:00,2026-04-26T08:30:00Z,40204.0,85106,,True,True,L4,BLR-BOM-🛧BLR-AMD-BLR,,40427.48623853211,85106.0,3.0,12.5,11.75,11.62461773700306,12.870642201834864,-0.3706422018348625,8.0,6.333333333333333,6.169877675840978,1.8301223241590219,,,78.11595509545349,,2026-04-26,40204:6-85106:8,Yet to Report,2026-04-26T07:30:00Z,2026-04-26T19:05:00Z,2026-04-26T20:19:00Z,L4,Airbus,BLR-BOM-🛧BLR-AMD-BLR,2026-04-26T00:17:46Z,2026-04-26
1,4681,0,BLR-BOM,2026-04-26 14:00:00,2026-04-26T08:30:00Z,40784.0,85106,,False,False,L4,BLR-BOM-🛧BLR-AMD-BLR,,40427.48623853211,85106.0,3.0,12.5,11.75,11.62461773700306,12.870642201834864,-0.3706422018348625,8.0,6.333333333333333,6.169877675840978,1.8301223241590219,,,78.11595509545349,,2026-04-26,40204:6-85106:8,Yet to Report,2026-04-26T07:30:00Z,2026-04-26T19:05:00Z,2026-04-26T20:19:00Z,L4,Airbus,BLR-BOM-🛧BLR-AMD-BLR,2026-04-26T00:17:46Z,2026-04-26
1,4681,1,BOM-🛧BLR,2026-04-26 14:00:00,2026-04-26T08:30:00Z,40204.0,85106,,True,False,L4,BLR-BOM-🛧BLR-AMD-BLR,,40427.48623853211,85106.0,3.0,12.5,11.75,11.62461773700306,12.870642201834864,-0.3706422018348625,8.0,6.333333333333333,6.169877675840978,1.8301223241590219,,,78.11595509545349,,2026-04-26,40204:6-85106:8,Yet to Report,2026-04-26T07:30:00Z,2026-04-26T19:05:00Z,2026-04-26T20:19:00Z,L4,Airbus,BLR-BOM-🛧BLR-AMD-BLR,2026-04-26T00:17:46Z,2026-04-26
1,4681,2,🛧BLR-AMD,2026-04-26 14:00:00,2026-04-26T08:30:00Z,40784.0,85106,,True,False,L4,BLR-BOM-🛧BLR-AMD-BLR,,40427.48623853211,85106.0,3.0,12.5,11.75,11.62461773700306,12.870642201834864,-0.3706422018348625,8.0,6.333333333333333,6.169877675840978,1.8301223241590219,,,78.11595509545349,,2026-04-26,40204:6-85106:8,Yet to Report,2026-04-26T07:30:00Z,2026-04-26T19:05:00Z,2026-04-26T20:19:00Z,L4,Airbus,BLR-BOM-🛧BLR-AMD-BLR,2026-04-26T00:17:46Z,2026-04-26
1,4681,3,AMD-BLR,2026-04-26 14:00:00,2026-04-26T08:30:00Z,40784.0,85106,,False,False,L4,BLR-BOM-🛧BLR-AMD-BLR,,40427.48623853211,85106.0,3.0,12.5,11.75,11.62461773700306,12.870642201834864,-0.3706422018348625,8.0,6.333333333333333,6.169877675840978,1.8301223241590219,,,78.11595509545349,,2026-04-26,40204:6-85106:8,Yet to Report,2026-04-26T07:30:00Z,2026-04-26T19:05:00Z,2026-04-26T20:19:00Z,L4,Airbus,BLR-BOM-🛧BLR-AMD-BLR,2026-04-26T00:17:46Z,2026-04-26
2,4681,0,BLR-BOM,2026-04-26 14:00:00,2026-04-26T08:30:00Z,40204.0,85106,,False,False,L4,BLR-BOM-🛧BLR-AMD-BLR,,40427.48623853211,85106.0,3.0,12.5,11.75,11.62461773700306,12.870642201834864,-0.3706422018348625,8.0,6.333333333333333,6.169877675840978,1.8301223241590219,,,78.11595509545349,,2026-04-26,40204:6-85106:8,Yet to Report,2026-04-26T07:30:00Z,2026-04-26T19:05:00Z,2026-04-26T20:19:00Z,L4,Airbus,BLR-BOM-🛧BLR-AMD-BLR,2026-04-26T00:17:46Z,2026-04-26
2,4681,1,BOM-🛧BLR,2026-04-26 14:00:00,2026-04-26T08:30:00Z,40204.0,85106,,False,False,L4,BLR-BOM-🛧BLR-AMD-BLR,,40427.48623853211,85106.0,3.0,12.5,11.75,11.62461773700306,12.870642201834864,-0.3706422018348625,8.0,6.333333333333333,6.169877675840978,1.8301223241590219,,,78.11595509545349,,2026-04-26,40204:6-85106:8,Yet to Report,2026-04-26T07:30:00Z,2026-04-26T19:05:00Z,2026-04-26T20:19:00Z,L4,Airbus,BLR-BOM-🛧BLR-AMD-BLR,2026-04-26T00:17:46Z,2026-04-26
