DUTYDAY,DUTY,REPORTING_STATUS,REPORTING,CP,FO,ETD_STD,ETA_STA,OPS_LEGS,ALLOWABLE_FDP,SCHEDULED_FDP,ACTUAL_FDP,PREDICTED_FDP,FDP_VARIANCE,ALLOWABLE_FT,SCHEDULED_FT,PREDICTED_FT,FT_VARIANCE,NIGHT_LANDINGS_VARIANCE,NIGHT_FDP_VARIANCE,PREDICTED_FDP_END,CRITICALITY,CRITICALITY_SCORE,FLEET,CROUTE,SECTORS,COMMENT,CREATED_AT_IST,CREATED_AT_IST_DAY
2026-04-26,42538:6-64971:8,Yet to Report,2026-04-26T07:15:00Z,42538,64971,2026-04-26T08:15:00Z,2026-04-26T17:30:00Z,4,12,10.25,10.25,11,1,8,7.5,8.083333333333334,-0.08333333333333393,,,2026-04-26T18:15:00Z,L4,71.96477628150991,Airbus,3157,HYD-IXB-HYD-CJB-HYD,,2026-04-25T00:33:45Z,2026-04-25
2026-04-26,20418:7-78812:5,Yet to Report,2026-04-26T14:50:00Z,20418,78812,2026-04-26T15:35:00Z,2026-04-26T22:35:00Z,4,12,7.75,7.75,9.766666666666666,2.2333333333333343,8,5.666666666666667,6.65,1.3499999999999996,-1,0.23333333333333428,2026-04-27T00:36:00Z,L4,90.41155351568032,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-25T00:33:45Z,2026-04-25
2026-04-26,7845:5-,Yet to Report,2026-04-26T05:20:00Z,7845,,2026-04-25T06:35:00Z,2026-04-25T11:45:00Z,2,13,-18.166666666666668,-17.583333333333332,13,0,9,3.6666666666666665,3.6666666666666665,5.333333333333334,,,2026-04-26T18:20:00Z,L4,77.59625002788492,Airbus,NS926,CCU-RGN-CCU,,2026-04-25T00:33:45Z,2026-04-25
2026-04-26,20418:7-78812:5,Yet to Report,2026-04-26T14:50:00Z,20418,78812,2026-04-26T15:35:00Z,2026-04-26T22:35:00Z,4,12,7.75,7.75,9.766666666666666,2.2333333333333343,8,5.666666666666667,5.666666666666667,2.333333333333333,-1,0.23333333333333428,2026-04-27T00:36:00Z,L4,90.41155351568025,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-25T00:18:07Z,2026-04-25
2026-04-26,7845:5-,Yet to Report,2026-04-26T05:20:00Z,7845,,2026-04-25T06:35:00Z,2026-04-25T11:45:00Z,2,13,-18.166666666666668,-17.583333333333332,13,0,9,3.6666666666666665,3.6666666666666665,5.333333333333334,,,2026-04-26T18:20:00Z,L4,77.59625002788492,Airbus,NS926,CCU-RGN-CCU,,2026-04-25T00:18:07Z,2026-04-25
2026-04-26,42538:6-64971:8,Yet to Report,2026-04-26T07:15:00Z,42538,64971,2026-04-26T08:15:00Z,2026-04-26T17:30:00Z,4,12,10.25,10.25,11,1,8,7.5,8.083333333333334,-0.08333333333333393,,,2026-04-26T18:15:00Z,L4,71.96477628150991,Airbus,3157,HYD-IXB-HYD-CJB-HYD,,2026-04-25T00:48:04Z,2026-04-25
2026-04-26,20418:7-78812:5,Yet to Report,2026-04-26T14:50:00Z,20418,78812,2026-04-26T15:35:00Z,2026-04-26T22:35:00Z,4,12,7.75,7.75,9.766666666666666,2.2333333333333343,8,5.666666666666667,6.65,1.3499999999999996,-1,0.23333333333333428,2026-04-27T00:36:00Z,L4,90.41155351568032,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-25T00:48:04Z,2026-04-25
2026-04-26,7845:5-,Yet to Report,2026-04-26T05:20:00Z,7845,,2026-04-25T06:35:00Z,2026-04-25T11:45:00Z,2,13,-18.166666666666668,-17.583333333333332,13,0,9,3.6666666666666665,3.6666666666666665,5.333333333333334,,,2026-04-26T18:20:00Z,L4,77.59625002788492,Airbus,NS926,CCU-RGN-CCU,,2026-04-25T00:48:04Z,2026-04-25
2026-04-26,25807:4-88526:4,Reported,2026-04-26T18:40:00Z,25807,88526,2026-04-26T19:40:00Z,2026-04-27T00:14:00Z,3,10,5.416666666666667,5.566666666666666,10.100000000000001,-0.10000000000000142,8,6.416666666666667,6.416666666666667,1.583333333333333,-1,-0.10000000000000142,2026-04-27T04:46:00Z,L4,90.4115539885741,Airbus,4021,MAA-TRV-BOM-CMB,,2026-04-27T00:19:08Z,2026-04-27
2026-04-26,42538:6-64971:8,Yet to Report,2026-04-26T07:15:00Z,42538,64971,2026-04-26T08:15:00Z,2026-04-26T17:30:00Z,4,12,10.25,10.25,11,1,8,7.5,8.083333333333334,-0.08333333333333393,,,2026-04-26T18:15:00Z,L4,71.96477628150991,Airbus,3157,HYD-IXB-HYD-CJB-HYD,,2026-04-25T01:04:01Z,2026-04-25
2026-04-26,20418:7-78812:5,Yet to Report,2026-04-26T14:50:00Z,20418,78812,2026-04-26T15:35:00Z,2026-04-26T22:35:00Z,4,12,7.75,7.75,9.766666666666666,2.2333333333333343,8,5.666666666666667,6.65,1.3499999999999996,-1,0.23333333333333428,2026-04-27T00:36:00Z,L4,90.41155351568032,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-25T01:04:01Z,2026-04-25
2026-04-26,7845:5-,Yet to Report,2026-04-26T05:20:00Z,7845,,2026-04-25T06:35:00Z,2026-04-25T11:45:00Z,2,13,-18.166666666666668,-17.583333333333332,13,0,9,3.6666666666666665,3.6666666666666665,5.333333333333334,,,2026-04-26T18:20:00Z,L4,77.59625002788492,Airbus,NS926,CCU-RGN-CCU,,2026-04-25T01:04:01Z,2026-04-25
